"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
125,99,0.01,TRUE,2,0.0120000000000005
125,199,0.005,TRUE,2,0.0120000000000005
125,999,0.001,TRUE,2,0.0150000000000148
125,4999,2e-04,TRUE,2,0.0260000000000105
126,99,0.01,TRUE,0,0.0120000000000005
126,199,0.005,TRUE,0,0.0120000000000005
126,999,0.001,TRUE,0,0.01400000000001
126,4999,2e-04,TRUE,0,0.0270000000000152
127,99,0.01,TRUE,0,0.0120000000000005
127,199,0.005,TRUE,0,0.0109999999999957
127,999,0.001,TRUE,0,0.01400000000001
127,4999,4e-04,TRUE,0,0.025999999999982
128,99,0.01,TRUE,2,0.0120000000000005
128,199,0.005,TRUE,2,0.0120000000000005
128,999,0.001,TRUE,2,0.0149999999999864
128,4999,2e-04,TRUE,2,0.025999999999982
129,99,0.01,TRUE,3,0.0109999999999957
129,199,0.005,TRUE,3,0.0110000000000241
129,999,0.001,TRUE,3,0.0150000000000148
129,4999,2e-04,TRUE,3,0.0260000000000105
130,99,0.01,TRUE,1,0.0109999999999957
130,199,0.005,TRUE,1,0.0120000000000005
130,999,0.001,TRUE,1,0.01400000000001
130,4999,2e-04,TRUE,1,0.0260000000000105
131,99,0.01,TRUE,1,0.0120000000000005
131,199,0.005,TRUE,1,0.0120000000000005
131,999,0.002,TRUE,1,0.0139999999999816
131,4999,2e-04,TRUE,1,0.0250000000000057
132,99,0.06,FALSE,0,0.0120000000000005
132,199,0.05,TRUE,0,0.0120000000000005
132,999,0.044,TRUE,0,0.01400000000001
132,4999,0.0302,TRUE,0,0.0529999999999973
133,99,0.01,TRUE,1,0.0109999999999957
133,199,0.005,TRUE,1,0.0109999999999957
133,999,0.001,TRUE,1,0.0130000000000052
133,4999,2e-04,TRUE,1,0.0250000000000057
134,99,0.01,TRUE,0,0.0120000000000005
134,199,0.005,TRUE,0,0.0120000000000005
134,999,0.001,TRUE,0,0.0149999999999864
134,4999,2e-04,TRUE,0,0.0260000000000105
135,99,0.01,TRUE,2,0.0120000000000005
135,199,0.005,TRUE,2,0.0120000000000005
135,999,0.001,TRUE,2,0.01400000000001
135,4999,2e-04,TRUE,2,0.0249999999999773
136,99,0.01,TRUE,0,0.0120000000000005
136,199,0.005,TRUE,0,0.0120000000000005
136,999,0.001,TRUE,0,0.01400000000001
136,4999,2e-04,TRUE,0,0.0250000000000057
137,99,0.01,TRUE,1,0.0120000000000005
137,199,0.005,TRUE,1,0.0120000000000005
137,999,0.001,TRUE,1,0.0159999999999911
137,4999,6e-04,TRUE,1,0.0260000000000105
138,99,0.01,TRUE,0,0.0120000000000005
138,199,0.005,TRUE,0,0.0120000000000005
138,999,0.001,TRUE,0,0.01400000000001
138,4999,2e-04,TRUE,0,0.0260000000000105
139,99,0.01,TRUE,2,0.0120000000000005
139,199,0.005,TRUE,2,0.0109999999999957
139,999,0.001,TRUE,2,0.01400000000001
139,4999,2e-04,TRUE,2,0.0250000000000057
140,99,0.01,TRUE,0,0.0120000000000005
140,199,0.005,TRUE,0,0.0109999999999957
140,999,0.001,TRUE,0,0.0139999999999816
140,4999,2e-04,TRUE,0,0.025999999999982
141,99,0.01,TRUE,0,0.0130000000000052
141,199,0.005,TRUE,0,0.0120000000000005
141,999,0.001,TRUE,0,0.0150000000000148
141,4999,2e-04,TRUE,0,0.0260000000000105
